,Agent ID,survey_id,Survey Conducted By,Household Name,Community Name,Region,District,Household GPS Coordinates,Latitude,Longitude,Altitude,Accuracy,Does the community have structured leadership for development initiatives?,"Are there active farmer groups, cooperatives, or community organizations?",How does the community approach external support?,How advanced are the community's farming practices?,"Does the community have access to farming resources (seeds, tools, irrigation, etc.)?",What is the state of post-harvest handling and storage?,How do farmers sell their produce?,Are there agribusinesses and local economic activities supporting farmers?,How financially independent are the farmers in the community?,How involved are youth and women in agriculture and leadership?,How does the community handle challenges and problem-solving?,Total Score (Auto-Calculated in Kobo Collect) out of 55 :,Community Maturity Level:,Score Range,Community Stage,Readiness Description,Region/District:,Date of Assessment:,Number of People Participating in This Survey:,1. Do community members see farming as a business rather than just subsistence?,2. How willing is the community to try new agricultural practices?,3. How does the community view external support from organizations like Roots Africa?,4. What happens when past agricultural projects have ended?,5. Is there an active community leadership structure that can help drive transformation?,6. Are farmers already working together in cooperatives or groups?,7. Do community leaders believe in empowering women and youth in agriculture?,8. How have community members responded to past development programs?,"9. How willing is the community to contribute resources (time, land, labor) to transformation efforts?",10. Is there a history of community self-initiative (projects started without external funding)?,11. What are the biggest challenges preventing agricultural progress in this community?,12. What existing strengths or resources can the community use to support transformation?,13. Have other organizations worked in this community in the past 5 years?,14. What types of organizations have engaged with the community?,15. What is the community’s relationship with past organizations?,Mindset & Readiness for Change (0-20),Community Leadership & Ownership (0-20),Community Participation & Engagement (0-20),Existing Challenges & Opportunities (0-20),External Partnerships & Past Engagements (0-20),Total Readiness Score (100 max),**Engagement Criteria:**,Date,Time,Altitude (m),Accuracy (m),Storage/Processing Facilities,Transportation Infrastructure,Water Sources,Community Skills,Community Leadership,Cooperative Name,Cooperative Purpose,Cooperative Members,Financial Services,Agribusiness Name,Agribusiness Type,Agribusiness Support,External Organizations,Specific Organizations and Activities,Impact Delivered,Unaddressed Gaps,Top Strengths,Strength Choice 1,Strength Choice 2,Strength Choice 3,Top Barriers,Barrier Choice 1,Barrier Choice 2,Barrier Choice 3,Partnership Needs,Community Group Interest,Survey Respondent,Respondent Other (if specified),Total Household Members,Male Adults (18+),Female Adults (18+),Children (<18),Household Head Education Level,Financial Decision Maker,Financial Decision Maker Other (if specified),Main Income Sources,Main Income Source Other (if specified),Estimated Monthly Income,Have Savings?,Taken Loans in Past 12 Months?,Meals Per Day,Food-Related Difficulties (Past 30 Days),Primary Food Source,Primary Food Source Other (if specified),Regularly Consumed Foods,Land Ownership,Farmed Land Size,Crops Cultivated,Crops Other (if specified),Livestock Raised,Livestock Other (if specified),Farming Techniques Used,Biggest Farming Challenge,Agricultural Produce Sales Channel,Sales Channel Other (if specified),Market Access Challenges,Satisfaction with Living Standard,Top 3 Household Priorities,Household Priorities Other (if specified),Training Interests,Surveyor Comments,Household Support Recommendations
29,,,John Doe,,Soroti,,,,,,,,,,,,,,,,,,,,,,,,Northern,2025-03-05,41.0,"Some farmers do, but many still see farming as survival.","Somewhat open—some farmers experiment, but most stick to tradition.",As a partnership—they want to actively participate and co-own solutions.,"Some elements remain, but participation declines without external help.","Yes, leaders are well-organized and actively support development projects.","Some farmers are in groups, but they need support.","Somewhat—there is recognition, but they lack real power.",Not engaged—they only participated when given incentives.,Not willing—people expect everything to be provided for them.,"No, very few self-driven initiatives have succeeded.","Climate change impacts (droughts, floods), Limited financial access","Youth interested in agribusiness, Fertile land and good climate conditions","Yes, but most programs did not last.","Churches & faith-based organizations, International NGOs","Negative—organizations failed, leaving the community skeptical.",10.0,11.0,20.0,9.0,15.0,65.0,Moderately Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,John Doe,,Mulembe,,,,,,,,,,,,,,,,,,,,,,,,Central,2025-03-01,40.0,"Some farmers do, but many still see farming as survival.",Resistant—there is strong attachment to traditional methods.,As charity—they expect organizations to solve their problems for them.,"Some elements remain, but participation declines without external help.","No, leadership is fragmented or uncooperative.","Some farmers are in groups, but they need support.","No, decision-making is controlled by a few older individuals.",Somewhat engaged—they participated but relied mostly on external help.,Not willing—people expect everything to be provided for them.,"No, very few self-driven initiatives have succeeded.","Poor road and transport infrastructure, Climate change impacts (droughts, floods), Limited market access, Limited financial access",Access to markets and buyers,"Yes, and their impact has been long-lasting.","Private sector agribusinesses, Churches & faith-based organizations","Negative—organizations failed, leaving the community skeptical.",17.0,18.0,18.0,13.0,13.0,79.0,Highly Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,John Doe,,Nyamira,,,,,,,,,,,,,,,,,,,,,,,,Northern,2025-02-25,16.0,"No, most farmers only farm for household consumption.","Somewhat open—some farmers experiment, but most stick to tradition.",As charity—they expect organizations to solve their problems for them.,The community continues and expands the work independently.,"Somewhat, but leadership is weak and inconsistent.","Some farmers are in groups, but they need support.","Yes, women and youth are actively involved in leadership and decision-making.",Not engaged—they only participated when given incentives.,Highly willing—community members are ready to invest their own resources.,"Some efforts exist, but they struggle without external help.","Climate change impacts (droughts, floods), Poor soil fertility, High post-harvest losses, Poor road and transport infrastructure","Strong leadership structures, Active farmer cooperatives","No, this community has not received external support.",Churches & faith-based organizations,Very positive—they still collaborate.,15.0,11.0,13.0,11.0,15.0,65.0,Moderately Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Ali Kato,,Gulu,,,,,,,,,,,,,,,,,,,,,,,,Eastern,2025-01-21,10.0,"Some farmers do, but many still see farming as survival.","Somewhat open—some farmers experiment, but most stick to tradition.",As a partnership—they want to actively participate and co-own solutions.,Most projects collapse once outside support ends.,"No, leadership is fragmented or uncooperative.","Yes, many farmers are part of well-organized groups.","Somewhat—there is recognition, but they lack real power.",Somewhat engaged—they participated but relied mostly on external help.,"Moderately willing—some will contribute, but only if there is external support.","Yes, the community has launched and sustained projects independently.","Limited financial access, Weak farmer cooperatives, High post-harvest losses","Access to markets and buyers, Youth interested in agribusiness","Yes, but most programs did not last.","Private sector agribusinesses, Youth organizations","Negative—organizations failed, leaving the community skeptical.",13.0,13.0,11.0,10.0,15.0,62.0,Moderately Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Jane Smith,,Iganga,,,,,,,,,,,,,,,,,,,,,,,,Eastern,2025-02-04,40.0,"Some farmers do, but many still see farming as survival.",Resistant—there is strong attachment to traditional methods.,As charity—they expect organizations to solve their problems for them.,Most projects collapse once outside support ends.,"No, leadership is fragmented or uncooperative.","Some farmers are in groups, but they need support.","Somewhat—there is recognition, but they lack real power.",Somewhat engaged—they participated but relied mostly on external help.,"Moderately willing—some will contribute, but only if there is external support.","No, very few self-driven initiatives have succeeded.","High post-harvest lossess, Lack of farming knowledge/training, Poor road and transport infrastructure, Limited financial access",Youth interested in agribusiness,"Yes, and their impact has been long-lasting.","Churches & faith-based organizations, Government agricultural programs","Negative—organizations failed, leaving the community skeptical.",18.0,16.0,16.0,13.0,13.0,76.0,Highly Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Jane Smith,,Kijiji,,,,,,,,,,,,,,,,,,,,,,,,Eastern,2025-03-11,32.0,"Yes, most farmers already think this way.",Very open—farmers have already adopted new techniques before.,As a partnership—they want to actively participate and co-own solutions.,The community continues and expands the work independently.,"Yes, leaders are well-organized and actively support development projects.","Yes, many farmers are part of well-organized groups.","Yes, women and youth are actively involved in leadership and decision-making.",Very engaged—they have contributed resources and time.,Highly willing—community members are ready to invest their own resources.,"Yes, the community has launched and sustained projects independently.",High post-harvest losses,"Strong leadership structures, Local savings groups/microfinance services, Fertile land and good climate conditions","Yes, and their impact has been long-lasting.",Youth organizations,Very positive—they still collaborate.,7.0,7.0,7.0,6.0,12.0,39.0,Not Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Ali Kato,,Iganga,,,,,,,,,,,,,,,,,,,,,,,,Eastern,2025-03-02,32.0,"Some farmers do, but many still see farming as survival.",Very open—farmers have already adopted new techniques before.,As a partnership—they want to actively participate and co-own solutions.,"Some elements remain, but participation declines without external help.","Yes, leaders are well-organized and actively support development projects.","No, farmers mostly work independently.","No, decision-making is controlled by a few older individuals.",Somewhat engaged—they participated but relied mostly on external help.,"Moderately willing—some will contribute, but only if there is external support.","Yes, the community has launched and sustained projects independently.","Climate change impacts (droughts, floods), Poor soil fertility, Limited market access, Lack of farming knowledge/training","Youth interested in agribusiness, Local savings groups/microfinance services","No, this community has not received external support.","Youth organizations, Government agricultural programs",Very positive—they still collaborate.,10.0,16.0,11.0,11.0,13.0,61.0,Moderately Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,John Doe,,Gulu,,,,,,,,,,,,,,,,,,,,,,,,Central,2025-02-29,21.0,"Yes, most farmers already think this way.","Somewhat open—some farmers experiment, but most stick to tradition.",As a partnership—they want to actively participate and co-own solutions.,The community continues and expands the work independently.,"Somewhat, but leadership is weak and inconsistent.","Some farmers are in groups, but they need support.","Somewhat—there is recognition, but they lack real power.",Somewhat engaged—they participated but relied mostly on external help.,"Moderately willing—some will contribute, but only if there is external support.","No, very few self-driven initiatives have succeeded.",Weak farmer cooperatives,"Fertile land and good climate conditions, Access to markets and buyers, Strong leadership structures","Yes, but most programs did not last.",Private sector agribusinesses,"Neutral—organizations came and left, with little lasting impact.",8.0,13.0,16.0,6.0,15.0,58.0,Moderately Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Ali Kato,,Kijiji,,,,,,,,,,,,,,,,,,,,,,,,Southern,2025-01-06,48.0,"No, most farmers only farm for household consumption.",Resistant—there is strong attachment to traditional methods.,As charity—they expect organizations to solve their problems for them.,Most projects collapse once outside support ends.,"No, leadership is fragmented or uncooperative.","No, farmers mostly work independently.","Somewhat—there is recognition, but they lack real power.",Very engaged—they have contributed resources and time.,"Moderately willing—some will contribute, but only if there is external support.","No, very few self-driven initiatives have succeeded.","Limited market access, High post-harvest losses, Lack of farming knowledge/training, Weak farmer cooperatives, Poor road and transport infrastructure, Limited financial access",Fertile land and good climate conditions,"Yes, and their impact has been long-lasting.","Youth organizations, Private sector agribusinesses, Local NGOs","Neutral—organizations came and left, with little lasting impact.",20.0,18.0,13.0,16.0,10.0,77.0,Highly Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Mary Achieng,,Iganga,,,,,,,,,,,,,,,,,,,,,,,,Southern,2025-02-22,22.0,"Some farmers do, but many still see farming as survival.",Resistant—there is strong attachment to traditional methods.,As charity—they expect organizations to solve their problems for them.,The community continues and expands the work independently.,"Somewhat, but leadership is weak and inconsistent.","No, farmers mostly work independently.","No, decision-making is controlled by a few older individuals.",Very engaged—they have contributed resources and time.,Not willing—people expect everything to be provided for them.,"No, very few self-driven initiatives have succeeded.","High post-harvest losses, Lack of farming knowledge/training, Weak farmer cooperatives, Limited financial access, Poor road and transport infrastructure","Fertile land and good climate conditions, Access to markets and buyers","No, this community has not received external support.",Private sector agribusinesses,Very positive—they still collaborate.,15.0,18.0,16.0,13.0,15.0,77.0,Highly Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Jane Smith,,Lira,,,,,,,,,,,,,,,,,,,,,,,,Northern,2025-02-03,41.0,"No, most farmers only farm for household consumption.",Resistant—there is strong attachment to traditional methods.,As charity—they expect organizations to solve their problems for them.,"Some elements remain, but participation declines without external help.","No, leadership is fragmented or uncooperative.","Some farmers are in groups, but they need support.","No, decision-making is controlled by a few older individuals.",Somewhat engaged—they participated but relied mostly on external help.,Not willing—people expect everything to be provided for them.,"No, very few self-driven initiatives have succeeded.","Limited Market Access, High post-harvest lossess, Lack of farming knowledge/training, Weak farmer cooperatives, Poor road and transport infrastructure, Limited financial access",Fertile land and good climate conditions,"No, this community has not received external support.","Youth organizations, Private sector agribusinesses","Negative—organizations failed, leaving the community skeptical.",18.0,18.0,18.0,16.0,17.0,87.0,Highly Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,0.541148,30.344018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-02,23:38,1494.0,26.0,"Cold storage units, Community granaries, Solar dryers","Access to major highways, Dirt roads (difficult in rainy season)","None, Rivers","Other, Financial literacy trainers",Yes,Coop 1,Support local farming 1,44.0,"SACCOs, Local banks",Agribusiness 1,Fertilizer distributor,Provides essential support for farmers 1,"Government agricultural programs, International NGOs, Youth groups",Org1 activities,"Yes, their work improved the community significantly.",Poor market access,"Abundant water resources, Fertile land, Strong leadership",Abundant water resources,Active cooperatives,Strong leadership,"Poor infrastructure, Financial constraints, Limited market access",Land degradation,Poor infrastructure,Limited market access,"Better market linkages, More youth engagement in agriculture, Improved farming technology",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,0.934985,34.10292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-08,18:36,501.0,9.0,Solar dryers,"Transport cooperatives or trucking services, Dirt roads (usable year-round), Paved roads","Wells, Irrigation systems, Rainwater harvesting","Other, Financial literacy trainers, Mechanics/technicians",Yes,Coop 2,Support local farming 2,182.0,"VSLAs, SILCs, None",Agribusiness 2,Processor,Provides essential support for farmers 2,Local NGOs,Org2 activities,"No, there was little to no impact.","Infrastructure challenges, Poor market access, No follow-up after training programs","Good infrastructure, Active cooperatives, Abundant water resources",Active cooperatives,Skilled labor force,Abundant water resources,"Water scarcity, Weak leadership, Lack of skilled labor",Lack of skilled labor,Climate change impacts,Weak leadership,"Better market linkages, More access to financing",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,0.111965,36.931793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-08,7:51,1426.0,43.0,"Cold storage units, Solar dryers, Community granaries",Dirt roads (usable year-round),Rivers,Financial literacy trainers,"Somewhat, but they need support",Coop 3,Support local farming 3,122.0,"SACCOs, VSLAs, SILCs",Agribusiness 3,Seed supplier,Provides essential support for farmers 3,Business enterprises,Org3 activities,"No, there was little to no impact.","Other, Lack of financial services","Fertile land, Access to markets, Strong leadership",Natural resources,Strong leadership,Skilled labor force,"Financial constraints, Poor infrastructure, Limited market access",Water scarcity,Weak leadership,Financial constraints,"Improved farming technology, More access to financing",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,-0.996141,34.558018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-09,0:35,1927.0,7.0,"Milling facilities, None, Cold storage units","Transport cooperatives or trucking services, Paved roads, Access to major highways",Boreholes,"Financial literacy trainers, Other","Somewhat, but they need support",Coop 4,Support local farming 4,192.0,"SACCOs, Local banks, Microfinance institutions",Agribusiness 4,Fertilizer distributor,Provides essential support for farmers 4,"Youth groups, Government agricultural programs",Org4 activities,"Yes, their work improved the community significantly.",Other,"Access to markets, Abundant water resources, Fertile land",Strong leadership,Abundant water resources,Access to markets,"Limited market access, Financial constraints, Climate change impacts",Limited market access,Lack of skilled labor,Climate change impacts,"Improved farming technology, More youth engagement in agriculture, Business development support",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,-0.651935,35.237892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-02,13:48,1962.0,22.0,"Community granaries, None, Cold storage units","Dirt roads (difficult in rainy season), Access to major highways, Paved roads","Wells, None, Irrigation systems",Financial literacy trainers,Yes,Coop 5,Support local farming 5,158.0,"Microfinance institutions, VSLAs, SILCs",Agribusiness 5,Seed supplier,Provides essential support for farmers 5,Local NGOs,Org5 activities,"No, there was little to no impact.","Other, Poor market access, No follow-up after training programs","Natural resources, Abundant water resources, Fertile land",Access to markets,Good infrastructure,Active cooperatives,"Poor infrastructure, Weak leadership, Water scarcity",Climate change impacts,Water scarcity,Land degradation,Improved farming technology,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,0.55146,34.232606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-03,3:37,1422.0,14.0,"None, Community granaries","Transport cooperatives or trucking services, Paved roads, Access to major highways","Rainwater harvesting, None","Mechanics/technicians, Business owners, Youth with digital skills",Yes,Coop 6,Support local farming 6,177.0,None,Agribusiness 6,Processor,Provides essential support for farmers 6,"International NGOs, Government agricultural programs, Faith-based organizations",Org6 activities,"Yes, their work improved the community significantly.",Poor market access,"Good infrastructure, Access to markets, Abundant water resources",Good infrastructure,Strong leadership,Access to markets,"Land degradation, Water scarcity, Limited market access",Financial constraints,Lack of skilled labor,Limited market access,Better market linkages,"Not sure, but we'd like more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,0.649503,33.040659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-08,5:18,868.0,14.0,"Solar dryers, None, Milling facilities","Paved roads, Transport cooperatives or trucking services, Dirt roads (difficult in rainy season)","Wells, Boreholes","Financial literacy trainers, Experienced farmers, Business owners","Somewhat, but they need support",Coop 7,Support local farming 7,52.0,Local banks,Agribusiness 7,Fertilizer distributor,Provides essential support for farmers 7,"Faith-based organizations, Business enterprises, Government agricultural programs",Org7 activities,"Some improvements, but they did not last long.","Infrastructure challenges, No follow-up after training programs","Access to markets, Active cooperatives, Strong leadership",Active cooperatives,Access to markets,Strong leadership,"Land degradation, Lack of skilled labor, Water scarcity",Climate change impacts,Water scarcity,Financial constraints,Business development support,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,-0.530852,38.259862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04,12:27,588.0,44.0,"Cold storage units, Milling facilities","Transport cooperatives or trucking services, Access to major highways, Dirt roads (usable year-round)","Wells, Boreholes","Experienced farmers, Other, Mechanics/technicians","Somewhat, but they need support",Coop 8,Support local farming 8,46.0,"VSLAs, SILCs",Agribusiness 8,Buyer,Provides essential support for farmers 8,International NGOs,Org8 activities,"Yes, their work improved the community significantly.","Lack of financial services, Infrastructure challenges","Natural resources, Active cooperatives, Strong leadership",Natural resources,Access to markets,Good infrastructure,"Lack of skilled labor, Weak leadership, Financial constraints",Financial constraints,Lack of skilled labor,Poor infrastructure,More access to financing,"Not sure, but we'd like more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,0.193857,34.450285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-06,21:35,711.0,22.0,"None, Community granaries","Dirt roads (usable year-round), Paved roads","Irrigation systems, None",Other,No,Coop 9,Support local farming 9,177.0,"None, VSLAs, SILCs",Agribusiness 9,Processor,Provides essential support for farmers 9,"Government agricultural programs, Business enterprises, Youth groups",Org9 activities,"No, there was little to no impact.","Other, Lack of financial services, Infrastructure challenges","Good infrastructure, Abundant water resources, Natural resources",Strong leadership,Abundant water resources,Good infrastructure,"Water scarcity, Poor infrastructure, Climate change impacts",Climate change impacts,Weak leadership,Limited market access,"More access to financing, Business development support",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,0.222939,34.288037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-03,4:10,770.0,32.0,Milling facilities,"Dirt roads (difficult in rainy season), Paved roads","Boreholes, Rainwater harvesting, Wells","Business owners, Mechanics/technicians",No,Coop 10,Support local farming 10,179.0,"Local banks, SACCOs",Agribusiness 10,Processor,Provides essential support for farmers 10,"International NGOs, Youth groups, Business enterprises",Org10 activities,"No, there was little to no impact.","No follow-up after training programs, Infrastructure challenges, Poor market access","Active cooperatives, Good infrastructure, Natural resources",Skilled labor force,Natural resources,Strong leadership,"Weak leadership, Lack of skilled labor, Limited market access",Climate change impacts,Poor infrastructure,Weak leadership,"More youth engagement in agriculture, Better market linkages",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,-0.910307,33.942218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-10,20:56,1397.0,34.0,Cold storage units,"Paved roads, Access to major highways",Rivers,Experienced farmers,Yes,Coop 11,Support local farming 11,178.0,"None, Local banks, Microfinance institutions",Agribusiness 11,Processor,Provides essential support for farmers 11,International NGOs,Org11 activities,"Yes, their work improved the community significantly.","Lack of financial services, Poor market access, Infrastructure challenges","Natural resources, Good infrastructure, Abundant water resources",Fertile land,Good infrastructure,Abundant water resources,"Weak leadership, Poor infrastructure, Climate change impacts",Climate change impacts,Limited market access,Lack of skilled labor,"Business development support, More youth engagement in agriculture, Improved farming technology","Not sure, but we'd like more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,-0.103695,39.965562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-06,1:42,682.0,19.0,"Milling facilities, Community granaries",Dirt roads (difficult in rainy season),"Boreholes, Rainwater harvesting, Rivers",Mechanics/technicians,Yes,Coop 12,Support local farming 12,181.0,"Local banks, SACCOs",Agribusiness 12,Fertilizer distributor,Provides essential support for farmers 12,Government agricultural programs,Org12 activities,"Yes, their work improved the community significantly.","No follow-up after training programs, Poor market access","Active cooperatives, Strong leadership, Fertile land",Skilled labor force,Abundant water resources,Fertile land,"Water scarcity, Climate change impacts, Limited market access",Limited market access,Weak leadership,Land degradation,Better market linkages,"Not sure, but we'd like more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,-0.373823,35.698335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-05,18:44,1897.0,38.0,None,Transport cooperatives or trucking services,"Boreholes, Rainwater harvesting","Business owners, Mechanics/technicians",Yes,Coop 13,Support local farming 13,139.0,"VSLAs, SILCs, Microfinance institutions",Agribusiness 13,Buyer,Provides essential support for farmers 13,"Local NGOs, Government agricultural programs, Business enterprises",Org13 activities,"No, there was little to no impact.","Lack of financial services, Infrastructure challenges, Other","Skilled labor force, Strong leadership, Abundant water resources",Abundant water resources,Strong leadership,Fertile land,"Financial constraints, Poor infrastructure, Land degradation",Weak leadership,Water scarcity,Poor infrastructure,More access to financing,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,0.783259,36.685859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-09,7:05,678.0,15.0,"None, Community granaries, Cold storage units","Paved roads, Dirt roads (difficult in rainy season), Dirt roads (usable year-round)","Irrigation systems, Rivers, Rainwater harvesting","Mechanics/technicians, Business owners","Somewhat, but they need support",Coop 14,Support local farming 14,27.0,"VSLAs, SILCs",Agribusiness 14,Fertilizer distributor,Provides essential support for farmers 14,Faith-based organizations,Org14 activities,"Some improvements, but they did not last long.",Lack of financial services,"Fertile land, Abundant water resources, Active cooperatives",Access to markets,Natural resources,Skilled labor force,"Weak leadership, Limited market access, Poor infrastructure",Lack of skilled labor,Financial constraints,Weak leadership,Improved farming technology,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,0.337273,33.495402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,16:36,851.0,15.0,"None, Community granaries","Access to major highways, Transport cooperatives or trucking services, Dirt roads (difficult in rainy season)","None, Rivers, Irrigation systems",Experienced farmers,"Somewhat, but they need support",Coop 15,Support local farming 15,49.0,"Local banks, Microfinance institutions",Agribusiness 15,Seed supplier,Provides essential support for farmers 15,"Local NGOs, Business enterprises, Government agricultural programs",Org15 activities,"Yes, their work improved the community significantly.",Infrastructure challenges,"Good infrastructure, Abundant water resources, Natural resources",Active cooperatives,Fertile land,Access to markets,"Land degradation, Financial constraints, Water scarcity",Lack of skilled labor,Poor infrastructure,Financial constraints,"Improved farming technology, Better market linkages, More youth engagement in agriculture","Not sure, but we'd like more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,-0.078417,36.361379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-09,2:01,1762.0,12.0,"Community granaries, Milling facilities","Access to major highways, Dirt roads (difficult in rainy season)","None, Wells",Other,No,Coop 16,Support local farming 16,53.0,"None, VSLAs, SILCs, Microfinance institutions",Agribusiness 16,Processor,Provides essential support for farmers 16,Government agricultural programs,Org16 activities,"Some improvements, but they did not last long.","Other, Lack of financial services","Fertile land, Natural resources, Strong leadership",Active cooperatives,Skilled labor force,Strong leadership,"Lack of skilled labor, Weak leadership, Water scarcity",Lack of skilled labor,Poor infrastructure,Financial constraints,"Improved farming technology, Business development support",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,0.849938,35.459436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04,16:41,1140.0,48.0,"None, Solar dryers","Transport cooperatives or trucking services, Dirt roads (difficult in rainy season)","Boreholes, Irrigation systems","Youth with digital skills, Mechanics/technicians","Somewhat, but they need support",Coop 17,Support local farming 17,88.0,"VSLAs, SILCs, None",Agribusiness 17,Processor,Provides essential support for farmers 17,Youth groups,Org17 activities,"Yes, their work improved the community significantly.","Lack of financial services, No follow-up after training programs","Natural resources, Fertile land, Access to markets",Natural resources,Abundant water resources,Active cooperatives,"Financial constraints, Climate change impacts, Land degradation",Weak leadership,Climate change impacts,Financial constraints,"More access to financing, Improved farming technology, Business development support",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,-0.861563,36.110656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-11,8:10,1235.0,30.0,"Community granaries, Milling facilities, None",Dirt roads (usable year-round),None,Financial literacy trainers,"Somewhat, but they need support",Coop 18,Support local farming 18,148.0,"Local banks, None, SACCOs",Agribusiness 18,Buyer,Provides essential support for farmers 18,"Faith-based organizations, Youth groups",Org18 activities,"Yes, their work improved the community significantly.","Infrastructure challenges, Poor market access","Abundant water resources, Strong leadership, Good infrastructure",Abundant water resources,Active cooperatives,Natural resources,"Land degradation, Limited market access, Poor infrastructure",Land degradation,Financial constraints,Weak leadership,"More access to financing, Business development support",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
